peak_id,peak_name,elevation_ft,summit_lat,summit_lon,nearest_city,trailhead_name,trailhead_lat,trailhead_lon
397,Ruby Peak,12549,38.897158,-107.1277312,,,,
398,Purple Peak,12562,38.9125799,-107.1202953,,,,
399,Mount Owen,12936,38.9089855,-107.1248234,,,,
400,Carfield Peak,12011,38.9149629,-107.0960841,,,,
401,Peeler Peak,12152,38.9113352,-107.0859767,,,,
402,Mount Emmons,12303,38.8864523,-107.0511679,,,,
403,Afley Peak,12326,38.9210966,-107.1190124,,,,
404,Oh-be-joyful Peak,12224,38.9301357,-107.116833,,,,
405,Hancock Peak,12238,38.9351856,-107.1167471,,,,
406,Schuylkill Mountain,11965,38.9402463,-107.0884561,,,,
407,Richmond Mountain,12388,38.9505671,-107.1139977,,,,
408,Mineral Point,12254,38.9709181,-107.1009979,,,,
409,Augusta Mountain,12451,38.9722236,-107.1060624,,,,
410,Purple Mountain,12785,38.9916511,-107.1033702,,,,
411,Cinnamon Mountain,12152,38.9946066,-107.0709567,,,,
412,Mount Baldy,12654,38.9935623,-107.0460613,,,,
413,Gothic Mountain,12513,38.9560236,-107.0106125,,,,
414,Mount Gunnison,12569,38.8119069,-107.382587,,,,
415,West Beckwith Mountain,11880,38.8600764,-107.2740584,,,,
416,East Beckwith Mountain,12339,38.8463154,-107.2232457,,,,
417,Carbon Peak,11926,38.7942043,-107.0433499,,,,
418,Ohio Peak,12093,38.8176211,-107.1211273,,,,
419,Mount Guero,11909,38.719608,-107.3858987,,,,
420,South Baldy Mountain,12375,38.6653928,-107.196878,,,,
421,Middle Baldy Mountain,12575,38.6785056,-107.1919862,,,,
422,Middle Baldy,12562,38.6885058,-107.1950418,,,,
423,North Baldy Mountain,12812,38.7002494,-107.1873913,,,,
424,West Elk Peak,12979,38.7180944,-107.1992944,,,,
425,Black Mountain,11844,37.8368732,-107.2256405,,,,
426,Bristol Head,12684,37.7935139,-107.0549953,,,,
427,Baldy Cinco,13323,37.9553778,-107.1028807,,,,
428,Snow Mesa,12398,37.938825,-107.1063904,,,,
429,Table Mountain,12785,37.8980309,-107.0511077,,,,
430,Whipple Mountain,11900,37.9945736,-107.9343503,,,,
431,Campbell Peak,13114,37.9871078,-107.8549241,,,,
432,Dallas Peak,13645,37.9881106,-107.8236847,,,,
433,Gilpin Peak,13540,37.9863328,-107.7932571,,,,
434,Greenback Mountain,12779,37.9688765,-107.7950086,,,,
435,Stony Mountain,12562,37.9823959,-107.7713753,,,,
436,Mount Emma,13478,37.9748861,-107.790415,,,,
437,Mendoza Peak,13094,37.960879,-107.7783846,,,,
438,Ajax Peak,12648,37.9285995,-107.7556066,,,,
439,Gold Hill,12684,37.8942229,-107.8231291,,,,
440,Palmyra Peak,12963,37.8836674,-107.8292845,,,,
441,Wasatch Mountain,13320,37.8900056,-107.7958859,,,,
442,Ballard Mountain,12562,37.9117297,-107.7903084,,,,
443,Ingram Peak,12451,37.9147177,-107.7584275,,,,
444,La Junta Peak,13369,37.8967468,-107.7871469,,,,
445,Three Needles,13337,37.8899889,-107.7563128,,,,
446,Potosi Peak,13638,37.9897944,-107.74928,,,,
447,Chicago Peak,13215,37.9427661,-107.7441744,,,,
448,Telluride Peak,13415,37.9247616,-107.7357565,,,,
449,Brown Mountain,13251,37.9208227,-107.6378274,,,,
450,United States Mountain,12963,37.9565533,-107.7390025,,,,
451,Hayden Mountain,13058,37.9543991,-107.7025501,,,,
452,Abrams Mountain,12753,37.962228,-107.6405406,,,,
453,Trico Peak,13156,37.9053582,-107.7382341,,,,
