peak_name,elevation_ft,summit_lat,summit_lon,trailhead_name,trailhead_lat,trailhead_lon
Mount Blaine,12267,39.4301142,-105.6805942,,,
South Twin Cone Peak,12251,39.4149942,-105.6821096,,,
Shawnee Peak,11844,39.396931,-105.5965086,,,
Little Baldy Mountain,12123,39.3285936,-105.9480611,,,
Palmer Peak,12467,39.3198953,-105.9897922,,,
North Tarryall Peak,11850,39.3119272,-105.6104217,,,
Windy Peak,11916,39.3022842,-105.4398189,,,
Bison Mountain,12379,39.2384549,-105.497854,,,
McCurdy Mountain,12073,39.219445,-105.4680234,,,
Granite Peak,12077,37.4689699,-107.4114753,,,
Three Sisters Peaks,11831,37.4833825,-107.3979001,,,
Pagosa Peak,12526,37.443951,-107.0665925,,,
Cherry Cairn,12457,37.4677094,-107.0319355,,,
Ruby Peak,12549,38.897158,-107.1277312,,,
Purple Peak,12562,38.9125799,-107.1202953,,,
Mount Owen,12936,38.9089855,-107.1248234,,,
Carfield Peak,12011,38.9149629,-107.0960841,,,
Peeler Peak,12152,38.9113352,-107.0859767,,,
Mount Emmons,12303,38.8864523,-107.0511679,,,
Afley Peak,12326,38.9210966,-107.1190124,,,
Oh-be-joyful Peak,12224,38.9301357,-107.116833,,,
Hancock Peak,12238,38.9351856,-107.1167471,,,
Schuylkill Mountain,11965,38.9402463,-107.0884561,,,
Richmond Mountain,12388,38.9505671,-107.1139977,,,
Mineral Point,12254,38.9709181,-107.1009979,,,
Augusta Mountain,12451,38.9722236,-107.1060624,,,
Purple Mountain,12785,38.9916511,-107.1033702,,,
Cinnamon Mountain,12152,38.9946066,-107.0709567,,,
Mount Baldy,12654,38.9935623,-107.0460613,,,
Gothic Mountain,12513,38.9560236,-107.0106125,,,
Mount Gunnison,12569,38.8119069,-107.382587,,,
West Beckwith Mountain,11880,38.8600764,-107.2740584,,,
East Beckwith Mountain,12339,38.8463154,-107.2232457,,,
Carbon Peak,11926,38.7942043,-107.0433499,,,
Ohio Peak,12093,38.8176211,-107.1211273,,,
Mount Guero,11909,38.719608,-107.3858987,,,
South Baldy Mountain,12375,38.6653928,-107.196878,,,
Middle Baldy Mountain,12575,38.6785056,-107.1919862,,,
Middle Baldy,12562,38.6885058,-107.1950418,,,
North Baldy Mountain,12812,38.7002494,-107.1873913,,,
West Elk Peak,12979,38.7180944,-107.1992944,,,
Black Mountain,11844,37.8368732,-107.2256405,,,
Bristol Head,12684,37.7935139,-107.0549953,,,
Baldy Cinco,13323,37.9553778,-107.1028807,,,
Snow Mesa,12398,37.938825,-107.1063904,,,
Table Mountain,12785,37.8980309,-107.0511077,,,
Whipple Mountain,11900,37.9945736,-107.9343503,,,
Campbell Peak,13114,37.9871078,-107.8549241,,,
Dallas Peak,13645,37.9881106,-107.8236847,,,
Gilpin Peak,13540,37.9863328,-107.7932571,,,
Greenback Mountain,12779,37.9688765,-107.7950086,,,
Stony Mountain,12562,37.9823959,-107.7713753,,,
Mount Emma,13478,37.9748861,-107.790415,,,
Mendoza Peak,13094,37.960879,-107.7783846,,,
Ajax Peak,12648,37.9285995,-107.7556066,,,
Gold Hill,12684,37.8942229,-107.8231291,,,
Palmyra Peak,12963,37.8836674,-107.8292845,,,
Wasatch Mountain,13320,37.8900056,-107.7958859,,,
Ballard Mountain,12562,37.9117297,-107.7903084,,,
Ingram Peak,12451,37.9147177,-107.7584275,,,
La Junta Peak,13369,37.8967468,-107.7871469,,,
Three Needles,13337,37.8899889,-107.7563128,,,
Potosi Peak,13638,37.9897944,-107.74928,,,
Chicago Peak,13215,37.9427661,-107.7441744,,,
Telluride Peak,13415,37.9247616,-107.7357565,,,
Brown Mountain,13251,37.9208227,-107.6378274,,,
United States Mountain,12963,37.9565533,-107.7390025,,,
Hayden Mountain,13058,37.9543991,-107.7025501,,,
Abrams Mountain,12753,37.962228,-107.6405406,,,
Trico Peak,13156,37.9053582,-107.7382341,,,
Red Mountain Number 2,12129,37.9128347,-107.6824214,,,
Red Mountain Number 3,12838,37.9015206,-107.6891098,,,
McMillan Peak,12667,37.8800471,-107.6898801,,,
Red Mountain Number 1,12484,37.9104026,-107.6622508,,,
Engineer Mountain,13100,37.9702671,-107.5883179,,,
Dolly Varden Mountain,12894,37.9920933,-107.5427834,,,
Gravel Mountain,13455,37.9597458,-107.541031,,,
Houghton Mountain,12999,37.9406807,-107.5863306,,,
Tuttle Mountain,13051,37.9339292,-107.6127008,,,
Seigal Mountain,13199,37.9571273,-107.5637874,,,
Denver Hill,12257,37.95148,-107.5782333,,,
Cinnamon Mountain,13304,37.9296446,-107.5458176,,,
Wood Mountain,13570,37.9474562,-107.5380624,,,
Edith Mountain,12365,37.9425072,-107.5127187,,,
Hurricane Peak,13379,37.9147288,-107.6215242,,,
California Mountain,13173,37.9182539,-107.6039062,,,
Hanson Peak,13399,37.9079777,-107.6097073,,,
Bonita Peak,13205,37.8970019,-107.6238741,,,
Emery Peak,13166,37.8882556,-107.6210535,,,
Treasure Mountain,12805,37.9124268,-107.5852482,,,
Eureka Mountain,12818,37.8983981,-107.5826993,,,
Handies Peak,14058,37.9129617,-107.5044497,,,
Jones Mountain,13776,37.8964981,-107.5265017,,,
Niagara Peak,13540,37.8892488,-107.5335107,,,
Crown Mountain,13484,37.879879,-107.5367594,,,
Whitecross Mountain,13451,37.9307323,-107.4932967,,,
Redcloud Peak,14037,37.9409934,-107.4217338,,,
Seventyone Mountain,12300,37.9379051,-107.2674572,,,
Grassy Mountain,12638,37.9568272,-107.344062,,,
Wilson Peak,14021,37.8602995,-107.9846517,,,
Gladstone Peak,13612,37.845232,-107.9838829,,,
Mount Wilson,14256,37.8392056,-107.9915763,,,
Sunshine Mountain,12562,37.8583385,-107.9342234,,,
Lizard Head,12703,37.8359064,-107.9506774,,,
Cross Mountain,12516,37.8321257,-107.9686907,,,
Black Face,12093,37.8238031,-107.9214231,,,
Sheep Mountain,13081,37.7853689,-107.885953,,,
Yellow Mountain,13045,37.8186505,-107.8340711,,,
Lookout Peak,13563,37.8622452,-107.78018,,,
South Lookout Peak,13248,37.8361608,-107.7903092,,,
Pilot Knob,13540,37.8116561,-107.8288145,,,
Golden Horn,13606,37.8047287,-107.8246478,,,
Vermilion Peak,13419,37.7993428,-107.8284737,,,
Fuller Peak,13586,37.7959925,-107.8212942,,,
Ulysses S Grant Peak,13527,37.8244338,-107.8072341,,,
San Miguel Peak,13665,37.7791393,-107.8645229,,,
Grizzly Peak,13573,37.7558974,-107.8618073,,,
Beattie Peak,13179,37.7901932,-107.824648,,,
Rolling Mountain,13484,37.7660672,-107.8260801,,,
Twin Sisters,13383,37.771625,-107.785811,,,
Ohio Peak,12569,37.860823,-107.6985762,,,
Storm Peak,13205,37.8594787,-107.6475072,,,
